https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),44621,44621,835,835
Alagoas (AL),110968,110968,2611,2611
Amapá (AP),73213,73213,996,996
Amazonas (AM),229367,229367,6123,6123
Bahia (BA),534371,534371,9606,9606
Ceará (CE),352340,352340,10223,10223
Distrito Federal(DF),263756,263756,4412,4412
Espírito Santo (ES),274509,274470,5493,5493
Goiás (GO),328062,327937,7102,7077
Maranhão (MA),203334,203334,4601,4601
Mato Grosso (MT),198444,197356,4782,4710
Mato Grosso do Sul (MS),150498,149731,2674,2661
Minas Gerais (MG),636797,636797,13355,13355
Pará (PA),309526,308936,7397,7388
Paraíba (PB),176835,176835,3880,3880
Paraná (PR),501036,501036,9073,9073
Pernambuco (PE),240605,240605,9993,9993
Piauí (PI),151397,151046,2950,2945
Rio de Janeiro (RJ),481111,481111,27755,27755
Rio Grande do Norte (RN),130350,129549,3190,3173
Rio Grande do Sul (RS),505021,505021,9876,9876
Rondônia (RO),108173,108173,1999,1999
Roraima (RR),70948,70752,811,811
Santa Catarina (SC),540342,540342,5867,5867
São Paulo (SP),1619619,1619619,49885,49885
Sergipe (SE),127715,127715,2640,2640
Tocantins (TO),96390,96058,1313,1308
TOTAL,8459348,8455059,209442,209296
