https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),28834,28834,669,669
Alagoas (AL),88538,88538,2121,2121
Amapá (AP),49085,49085,724,724
Amazonas (AM),145367,145367,4215,4215
Bahia (BA),321798,321798,7049,7049
Ceará (CE),258356,257865,9124,9111
Distrito Federal(DF),198192,198192,3391,3391
Espírito Santo (ES),137330,137330,3628,3628
Goiás (GO),226656,225978,5118,5079
Maranhão (MA),177584,177584,3838,3838
Mato Grosso (MT),130783,130094,3586,3533
Mato Grosso do Sul (MS),74092,73548,1409,1395
Minas Gerais (MG),315041,315041,7897,7897
Pará (PA),237478,236830,6636,6629
Paraíba (PB),124749,124749,2894,2894
Paraná (PR),188199,188199,4712,4712
Pernambuco (PE),151736,151736,8387,8387
Piauí (PI),101123,100548,2197,2188
Rio de Janeiro (RJ),280144,280144,19110,19110
Rio Grande do Norte (RN),72706,72348,2425,2413
Rio Grande do Sul (RS),209623,209623,5068,5068
Rondônia (RO),67323,67323,1390,1390
Roraima (RR),52131,51879,670,666
Santa Catarina (SC),224103,224103,2892,2892
São Paulo (SP),1022404,1022404,36884,36884
Sergipe (SE),78957,78957,2078,2078
Tocantins (TO),70704,70347,1002,996
TOTAL,5033036,5028444,149114,148957
