https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),29925,29925,682,682
Alagoas (AL),89746,89746,2192,2192
Amapá (AP),50594,50594,736,736
Amazonas (AM),154465,154465,4372,4372
Bahia (BA),339215,339215,7384,7384
Ceará (CE),267721,266316,9243,9227
Distrito Federal(DF),207080,207080,3587,3587
Espírito Santo (ES),147395,147317,3755,3754
Goiás (GO),242134,241593,5491,5472
Maranhão (MA),182483,182483,3960,3960
Mato Grosso (MT),138137,137426,3758,3703
Mato Grosso do Sul (MS),78710,78360,1524,1518
Minas Gerais (MG),340502,340502,8554,8554
Pará (PA),244229,243118,6697,6690
Paraíba (PB),129414,129414,3020,3020
Paraná (PR),203050,203050,5035,5035
Pernambuco (PE),157418,157418,8519,8519
Piauí (PI),108346,107580,2322,2314
Rio de Janeiro (RJ),293940,293940,19945,19945
Rio Grande do Norte (RN),79704,79326,2567,2556
Rio Grande do Sul (RS),227463,227463,5482,5482
Rondônia (RO),69531,69531,1429,1429
Roraima (RR),54905,54676,690,689
Santa Catarina (SC),238833,238833,2998,2998
São Paulo (SP),1073261,1073261,38371,38371
Sergipe (SE),82826,82826,2151,2151
Tocantins (TO),73566,73314,1072,1063
TOTAL,5304593,5298772,155536,155403
