https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),26463,26463,643,643
Alagoas (AL),82983,82983,1996,1996
Amapá (AP),46266,46266,685,685
Amazonas (AM),128851,128851,3920,3920
Bahia (BA),287685,287685,6085,6085
Ceará (CE),230406,230406,8764,8764
Distrito Federal(DF),179823,179823,3000,3000
Espírito Santo (ES),121710,121708,3388,3388
Goiás (GO),174795,172747,3971,3935
Maranhão (MA),164770,164770,3611,3611
Mato Grosso (MT),109442,108890,3204,3156
Mato Grosso do Sul (MS),60963,60963,1122,1122
Minas Gerais (MG),258595,258595,6419,6419
Pará (PA),218458,217500,6421,6405
Paraíba (PB),114582,114582,2659,2659
Paraná (PR),157330,157330,3971,3971
Pernambuco (PE),138568,138568,7933,7933
Piauí (PI),88671,87959,2007,1996
Rio de Janeiro (RJ),246182,246182,17342,17342
Rio Grande do Norte (RN),66159,65933,2338,2330
Rio Grande do Sul (RS),164373,164373,4216,4216
Rondônia (RO),61619,61619,1277,1277
Roraima (RR),47398,47164,611,611
Santa Catarina (SC),201682,201682,2593,2593
São Paulo (SP),909428,909428,33253,33253
Sergipe (SE),75342,75342,1965,1965
Tocantins (TO),61271,61271,831,831
TOTAL,4423815,4419083,134225,134106
