https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),29050,29050,674,674
Alagoas (AL),88826,88826,2138,2138
Amapá (AP),49386,49386,725,725
Amazonas (AM),147457,147457,4239,4239
Bahia (BA),325957,325957,7128,7128
Ceará (CE),260154,260154,9134,9134
Distrito Federal(DF),200035,200035,3424,3424
Espírito Santo (ES),138933,138933,3650,3650
Goiás (GO),228974,228891,5199,5194
Maranhão (MA),178765,178765,3869,3869
Mato Grosso (MT),132024,131343,3622,3568
Mato Grosso do Sul (MS),74839,74675,1440,1433
Minas Gerais (MG),322936,322936,8127,8127
Pará (PA),237958,237938,6656,6654
Paraíba (PB),125877,125877,2922,2922
Paraná (PR),192143,192143,4768,4768
Pernambuco (PE),153144,153144,8411,8411
Piauí (PI),102500,102268,2230,2217
Rio de Janeiro (RJ),283675,283675,19308,19308
Rio Grande do Norte (RN),73350,72889,2427,2417
Rio Grande do Sul (RS),214158,214158,5141,5141
Rondônia (RO),67940,67937,1398,1398
Roraima (RR),52659,52637,670,670
Santa Catarina (SC),227213,227213,2917,2917
São Paulo (SP),1037660,1037660,37256,37256
Sergipe (SE),79896,79896,2095,2095
Tocantins (TO),71195,71136,1012,1011
TOTAL,5096704,5094979,150580,150488
