https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),22548,22548,576,576
Alagoas (AL),72734,72734,1753,1753
Amapá (AP),39518,39518,613,613
Amazonas (AM),111912,111912,3483,3483
Bahia (BA),216030,216030,4406,4406
Ceará (CE),197691,197619,8133,8133
Distrito Federal(DF),136467,136467,1976,1976
Espírito Santo (ES),99580,99580,2875,2875
Goiás (GO),101919,101592,2330,2322
Maranhão (MA),136853,136853,3264,3264
Mato Grosso (MT),73269,73269,2377,2340
Mato Grosso do Sul (MS),37425,36836,640,626
Minas Gerais (MG),174402,174402,4132,4132
Pará (PA),178375,177969,5945,5940
Paraíba (PB),96033,96033,2162,2162
Paraná (PR),105104,105104,2691,2691
Pernambuco (PE),112958,112958,7188,7188
Piauí (PI),66315,66078,1619,1608
Rio de Janeiro (RJ),194279,194279,14562,14562
Rio Grande do Norte (RN),58095,57720,2087,2067
Rio Grande do Sul (RS),97877,97877,2689,2689
Rondônia (RO),47837,47837,1013,1013
Roraima (RR),39665,39623,568,568
Santa Catarina (SC),120880,120880,1797,1797
São Paulo (SP),699493,699493,26852,26852
Sergipe (SE),67997,67997,1705,1705
Tocantins (TO),37856,36989,516,511
TOTAL,3343112,3340197,107952,107852
