https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),44767,44767,836,836
Alagoas (AL),111443,111443,2620,2620
Amapá (AP),73417,73417,996,996
Amazonas (AM),230644,230644,6191,6191
Bahia (BA),537772,537772,9638,9638
Ceará (CE),353979,353388,10223,10223
Distrito Federal(DF),264227,264227,4421,4421
Espírito Santo (ES),275504,275504,5506,5506
Goiás (GO),328197,328098,7102,7102
Maranhão (MA),203423,203423,4606,4606
Mato Grosso (MT),199006,197916,4793,4721
Mato Grosso do Sul (MS),150944,150498,2686,2674
Minas Gerais (MG),643609,643609,13465,13465
Pará (PA),309816,309526,7412,7397
Paraíba (PB),177843,177618,3902,3888
Paraná (PR),502599,502599,9092,9092
Pernambuco (PE),241087,241087,10020,10020
Piauí (PI),151619,151397,2961,2950
Rio de Janeiro (RJ),482058,482058,27791,27791
Rio Grande do Norte (RN),131375,130350,3196,3177
Rio Grande do Sul (RS),506885,506885,9921,9921
Rondônia (RO),109056,109056,2005,2005
Roraima (RR),71065,70948,811,811
Santa Catarina (SC),541745,541745,5886,5886
São Paulo (SP),1625339,1625339,49945,49945
Sergipe (SE),128395,128395,2652,2652
Tocantins (TO),96589,96390,1316,1313
TOTAL,8492403,8488099,209993,209847
