https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),36080,36080,723,723
Alagoas (AL),94859,94859,2336,2336
Amapá (AP),58956,58956,806,806
Amazonas (AM),177991,177991,4885,4885
Bahia (BA),401419,401419,8247,8247
Ceará (CE),300134,299949,9607,9607
Distrito Federal(DF),228702,228702,3925,3925
Espírito Santo (ES),188929,188929,4252,4252
Goiás (GO),278960,278929,6349,6349
Maranhão (MA),193066,193066,4287,4287
Mato Grosso (MT),158417,157599,4134,4078
Mato Grosso do Sul (MS),99061,98363,1769,1766
Minas Gerais (MG),415247,415247,10031,10031
Pará (PA),270548,270368,6915,6907
Paraíba (PB),145212,145212,3292,3292
Paraná (PR),277707,277707,6122,6122
Pernambuco (PE),181841,181841,9030,9030
Piauí (PI),127014,126721,2624,2622
Rio de Janeiro (RJ),353316,353316,22561,22561
Rio Grande do Norte (RN),95556,94482,2699,2686
Rio Grande do Sul (RS),320778,320778,6776,6776
Rondônia (RO),80055,80055,1555,1555
Roraima (RR),63322,63234,727,727
Santa Catarina (SC),358997,358997,3721,3721
São Paulo (SP),1240473,1240473,42076,42076
Sergipe (SE),89998,89998,2304,2304
Tocantins (TO),81632,81469,1164,1162
TOTAL,6318270,6314740,172917,172833
