https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),40399,40399,776,776
Alagoas (AL),102178,102178,2433,2433
Amapá (AP),65938,65938,891,891
Amazonas (AM),194406,194406,5133,5133
Bahia (BA),476955,476955,8893,8893
Ceará (CE),326519,326058,9947,9942
Distrito Federal(DF),246397,246397,4181,4181
Espírito Santo (ES),234494,234382,4866,4866
Goiás (GO),303903,303212,6740,6723
Maranhão (MA),199754,199754,4445,4445
Mato Grosso (MT),175223,174301,4420,4360
Mato Grosso do Sul (MS),126583,125181,2160,2130
Minas Gerais (MG),510219,510219,11355,11355
Pará (PA),289348,288465,7095,7078
Paraíba (PB),161539,161539,3573,3573
Paraná (PR),387686,387686,7528,7528
Pernambuco (PE),211996,211996,9487,9487
Piauí (PI),139713,139168,2792,2788
Rio de Janeiro (RJ),414344,414344,24773,24773
Rio Grande do Norte (RN),113490,111970,2932,2913
Rio Grande do Sul (RS),416098,416098,8345,8345
Rondônia (RO),91574,91574,1728,1728
Roraima (RR),68107,67909,773,772
Santa Catarina (SC),472199,472199,4885,4885
São Paulo (SP),1409140,1409140,45576,45576
Sergipe (SE),105673,105673,2427,2427
Tocantins (TO),88739,88376,1221,1219
TOTAL,7372614,7365517,189375,189220
