https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),42908,42908,823,823
Alagoas (AL),108109,108109,2553,2553
Amapá (AP),70679,70676,969,969
Amazonas (AM),212996,212996,5669,5669
Bahia (BA),511192,511192,9392,9392
Ceará (CE),344677,343887,10150,10137
Distrito Federal(DF),258153,258153,4351,4351
Espírito Santo (ES),262157,262113,5307,5306
Goiás (GO),317166,317024,6964,6964
Maranhão (MA),201915,201915,4555,4555
Mato Grosso (MT),189119,188098,4667,4595
Mato Grosso do Sul (MS),143596,142765,2546,2525
Minas Gerais (MG),587868,587868,12594,12594
Pará (PA),301501,300454,7304,7292
Paraíba (PB),172261,172261,3800,3800
Paraná (PR),471639,471639,8742,8742
Pernambuco (PE),230891,230891,9826,9826
Piauí (PI),147038,146779,2897,2895
Rio de Janeiro (RJ),459866,459866,26704,26704
Rio Grande do Norte (RN),124467,123783,3100,3086
Rio Grande do Sul (RS),478501,478501,9413,9413
Rondônia (RO),101024,101024,1908,1908
Roraima (RR),69732,69640,793,793
Santa Catarina (SC),518805,518805,5611,5611
São Paulo (SP),1540513,1540513,48298,48298
Sergipe (SE),121222,121222,2563,2563
Tocantins (TO),93099,92916,1270,1267
TOTAL,8081094,8075998,202769,202631
