https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),44775,44775,837,837
Alagoas (AL),111724,111724,2629,2629
Amapá (AP),73626,73626,1005,1005
Amazonas (AM),232434,232434,6308,6308
Bahia (BA),540320,540320,9667,9667
Ceará (CE),356117,353979,10240,10223
Distrito Federal(DF),265274,265274,4427,4427
Espírito Santo (ES),277357,277173,5536,5534
Goiás (GO),330106,328848,7107,7107
Maranhão (MA),203581,203581,4613,4613
Mato Grosso (MT),200134,199035,4815,4743
Mato Grosso do Sul (MS),150944,150944,2686,2686
Minas Gerais (MG),646091,646091,13483,13483
Pará (PA),311063,309816,7427,7412
Paraíba (PB),177843,177843,3902,3902
Paraná (PR),503712,503712,9054,9054
Pernambuco (PE),241409,241409,10031,10031
Piauí (PI),152211,151619,2968,2961
Rio de Janeiro (RJ),482431,482431,27805,27805
Rio Grande do Norte (RN),131375,130578,3196,3179
Rio Grande do Sul (RS),508058,508058,9967,9967
Rondônia (RO),110331,110331,2031,2031
Roraima (RR),71232,71065,816,811
Santa Catarina (SC),543389,543389,5919,5919
São Paulo (SP),1628272,1628272,49987,49987
Sergipe (SE),128854,128854,2662,2662
Tocantins (TO),96589,96589,1316,1316
TOTAL,8519252,8511770,210434,210299
