https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),37277,37277,732,732
Alagoas (AL),96300,96300,2351,2351
Amapá (AP),61053,61053,826,826
Amazonas (AM),182337,182337,4946,4946
Bahia (BA),419044,419044,8388,8388
Ceará (CE),304443,304443,9693,9693
Distrito Federal(DF),233376,233376,3978,3978
Espírito Santo (ES),198947,198690,4385,4384
Goiás (GO),285971,285953,6455,6455
Maranhão (MA),195020,195020,4335,4335
Mato Grosso (MT),162186,161351,4186,4130
Mato Grosso do Sul (MS),105223,104727,1833,1827
Minas Gerais (MG),438304,438304,10283,10283
Pará (PA),275049,274545,6950,6944
Paraíba (PB),148712,148712,3345,3345
Paraná (PR),300271,300271,6421,6421
Pernambuco (PE),189650,189650,9140,9140
Piauí (PI),130984,130539,2673,2666
Rio de Janeiro (RJ),370267,370267,23099,23099
Rio Grande do Norte (RN),98035,97581,2736,2725
Rio Grande do Sul (RS),346801,346801,7166,7166
Rondônia (RO),82408,82408,1593,1593
Roraima (RR),64905,64685,744,744
Santa Catarina (SC),393602,393602,3980,3980
São Paulo (SP),1285087,1285087,42969,42969
Sergipe (SE),91854,91854,2329,2329
Tocantins (TO),83411,83300,1182,1179
TOTAL,6580517,6577177,176718,176628
