https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),22605,22605,582,582
Alagoas (AL),72938,72938,1763,1763
Amapá (AP),39703,39703,617,617
Amazonas (AM),112263,112263,3505,3505
Bahia (BA),217115,217115,4475,4475
Ceará (CE),198252,198202,8172,8163
Distrito Federal(DF),138735,138735,2043,2042
Espírito Santo (ES),100859,100859,2908,2908
Goiás (GO),104588,102665,2378,2336
Maranhão (MA),137408,137408,3277,3277
Mato Grosso (MT),74770,74509,2416,2368
Mato Grosso do Sul (MS),37425,37425,640,640
Minas Gerais (MG),175715,175715,4223,4223
Pará (PA),180090,178375,5975,5945
Paraíba (PB),96223,96223,2183,2183
Paraná (PR),106379,106379,2733,2733
Pernambuco (PE),113183,113183,7210,7210
Piauí (PI),67226,66315,1637,1619
Rio de Janeiro (RJ),194651,194651,14566,14566
Rio Grande do Norte (RN),58095,57898,2087,2081
Rio Grande do Sul (RS),98007,98007,2744,2744
Rondônia (RO),48232,48232,1017,1017
Roraima (RR),39665,39665,568,568
Santa Catarina (SC),121666,121666,1839,1839
São Paulo (SP),702665,702665,26899,26899
Sergipe (SE),68313,68313,1717,1717
Tocantins (TO),37856,37856,516,516
TOTAL,3364627,3359570,108690,108536
