https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/31/casos-de-coronavirus-no-brasil-em-31-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),42,42
Alagoas (AL),18,18
Amapá (AP),10,10
Amazonas (AM),175,175
Bahia (BA),217,213
Ceará (CE),401,390
Distrito Federal(DF),333,332
Espírito Santo (ES),97,84
Goiás (GO),65,65
Maranhão (MA),52,31
Mato Grosso (MT),25,25
Mato Grosso do Sul (MS),48,48
Minas Gerais (MG),275,275
Pará (PA),34,32
Paraíba (PB),19,17
Paraná (PR),185,179
Pernambuco (PE),87,87
Piauí (PI),18,18
Rio de Janeiro (RJ),708,708
Rio Grande do Norte (RN),82,82
Rio Grande do Sul (RS),305,274
Rondônia (RO),9,8
Roraima (RR),22,16
Santa Catarina (SC),235,219
São Paulo (SP),2339,2339
Sergipe (SE),20,19
Tocantins (TO),12,11
TOTAL,5833,5717
