https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),36746,36746,727,727
Alagoas (AL),95388,95388,2344,2344
Amapá (AP),59850,59850,814,814
Amazonas (AM),179963,179963,4912,4912
Bahia (BA),409417,409417,8315,8315
Ceará (CE),301802,301802,9640,9640
Distrito Federal(DF),230905,230905,3955,3955
Espírito Santo (ES),193825,193824,4324,4324
Goiás (GO),282740,282545,6389,6389
Maranhão (MA),193883,193883,4313,4313
Mato Grosso (MT),160540,159714,4161,4105
Mato Grosso do Sul (MS),101102,101102,1793,1793
Minas Gerais (MG),424155,424155,10121,10121
Pará (PA),273126,272125,6933,6927
Paraíba (PB),146528,146528,3316,3316
Paraná (PR),288546,288546,6243,6243
Pernambuco (PE),185607,185607,9082,9082
Piauí (PI),129096,128432,2650,2644
Rio de Janeiro (RJ),361397,361397,22764,22764
Rio Grande do Norte (RN),97132,96681,2715,2704
Rio Grande do Sul (RS),331279,331279,6973,6973
Rondônia (RO),81322,81322,1579,1579
Roraima (RR),64174,63899,739,734
Santa Catarina (SC),378621,378621,3855,3855
São Paulo (SP),1259704,1259704,42456,42456
Sergipe (SE),90920,90920,2316,2316
Tocantins (TO),82295,82295,1170,1170
TOTAL,6440063,6436650,174599,174515
