https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),42117,42117,806,806
Alagoas (AL),106032,106032,2515,2515
Amapá (AP),68775,68775,936,936
Amazonas (AM),202972,202972,5368,5368
Bahia (BA),496823,496823,9246,9246
Ceará (CE),336975,336975,10025,10025
Distrito Federal(DF),254310,254310,4289,4289
Espírito Santo (ES),253115,253115,5176,5176
Goiás (GO),311067,309976,6857,6857
Maranhão (MA),201093,201093,4524,4524
Mato Grosso (MT),182877,181193,4583,4509
Mato Grosso do Sul (MS),137570,136250,2431,2398
Minas Gerais (MG),552104,552104,12063,12063
Pará (PA),295439,294224,7235,7223
Paraíba (PB),168179,168179,3722,3722
Paraná (PR),423041,423041,8060,8060
Pernambuco (PE),223845,223845,9691,9691
Piauí (PI),144200,143651,2863,2856
Rio de Janeiro (RJ),439345,439345,25617,25617
Rio Grande do Norte (RN),120676,119186,3060,3011
Rio Grande do Sul (RS),455326,455326,9018,9018
Rondônia (RO),97197,97197,1840,1840
Roraima (RR),69029,68947,789,787
Santa Catarina (SC),498910,498910,5376,5376
São Paulo (SP),1473670,1473670,46888,46888
Sergipe (SE),115636,115636,2516,2516
Tocantins (TO),91230,90860,1248,1244
TOTAL,7761553,7753752,196742,196561
