https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),10987,10987,292,292
Alagoas (AL),26906,26906,848,848
Amapá (AP),19922,19922,348,348
Amazonas (AM),61683,61683,2624,2624
Bahia (BA),43923,43922,1305,1305
Ceará (CE),90441,89863,5497,5460
Distrito Federal(DF),30902,30902,396,396
Espírito Santo (ES),33232,33142,1267,1265
Goiás (GO),14540,14027,289,281
Maranhão (MA),68500,68500,1645,1645
Mato Grosso (MT),8725,8353,322,309
Mato Grosso do Sul (MS),4990,4666,43,40
Minas Gerais (MG),26052,26052,600,600
Pará (PA),82881,80072,4519,4469
Paraíba (PB),35093,35093,724,724
Paraná (PR),12932,12785,428,419
Pernambuco (PE),49720,49720,4102,4102
Piauí (PI),13813,12567,459,435
Rio de Janeiro (RJ),93378,93378,8595,8595
Rio Grande do Norte (RN),19206,16039,697,693
Rio Grande do Sul (RS),18587,18587,423,423
Rondônia (RO),14353,14353,391,391
Roraima (RR),8037,7650,245,239
Santa Catarina (SC),16332,16322,234,234
São Paulo (SP),211658,211658,12232,12232
Sergipe (SE),17808,17808,426,426
Tocantins (TO),8203,7956,167,159
TOTAL,1042804,1032913,49118,48954
