https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),28222,28222,659,659
Alagoas (AL),86879,86879,2072,2072
Amapá (AP),48254,48254,709,709
Amazonas (AM),139326,139326,4156,4156
Bahia (BA),310526,310526,6744,6744
Ceará (CE),241159,241159,8994,8994
Distrito Federal(DF),192245,192245,3255,3255
Espírito Santo (ES),131490,131490,3545,3545
Goiás (GO),211240,209411,4705,4672
Maranhão (MA),173564,173564,3756,3756
Mato Grosso (MT),124060,123416,3457,3406
Mato Grosso do Sul (MS),70239,69706,1311,1303
Minas Gerais (MG),295169,295169,7360,7360
Pará (PA),231743,230449,6582,6573
Paraíba (PB),121267,121267,2824,2824
Paraná (PR),178898,178898,4485,4485
Pernambuco (PE),147171,147171,8251,8251
Piauí (PI),96849,96086,2127,2127
Rio de Janeiro (RJ),264783,264783,18487,18487
Rio Grande do Norte (RN),69965,69433,2403,2393
Rio Grande do Sul (RS),190572,190572,4782,4782
Rondônia (RO),65911,65911,1357,1357
Roraima (RR),50681,50449,654,648
Santa Catarina (SC),215478,215478,2797,2797
São Paulo (SP),985628,985628,35622,35622
Sergipe (SE),77440,77440,2036,2036
Tocantins (TO),68606,68003,948,939
TOTAL,4817365,4810935,144078,143952
