https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),58081,58081,1020,1020
Alagoas (AL),132701,132701,3022,3022
Amapá (AP),84177,84177,1144,1144
Amazonas (AM),318244,318244,11012,11012
Bahia (BA),689454,689454,12028,12028
Ceará (CE),430184,430184,11348,11348
Distrito Federal(DF),299399,299399,4887,4887
Espírito Santo (ES),328601,328490,6457,6457
Goiás (GO),402554,400329,8678,8545
Maranhão (MA),220453,220453,5095,5095
Mato Grosso (MT),253783,252217,5864,5765
Mato Grosso do Sul (MS),184117,183105,3374,3350
Minas Gerais (MG),887080,887080,18645,18645
Pará (PA),368310,366613,8709,8675
Paraíba (PB),223169,223169,4558,4558
Paraná (PR),656410,656410,11866,11866
Pernambuco (PE),301434,301434,11030,11030
Piauí (PI),175550,174546,3387,3365
Rio de Janeiro (RJ),585620,585620,33176,33176
Rio Grande do Norte (RN),170706,168171,3675,3636
Rio Grande do Sul (RS),649678,649678,12654,12654
Rondônia (RO),151188,151188,2916,2916
Roraima (RR),82612,82217,1117,1114
Santa Catarina (SC),681391,681391,7524,7524
São Paulo (SP),2054867,2054867,60014,60014
Sergipe (SE),152367,152367,2976,2976
Tocantins (TO),116038,115341,1549,1539
TOTAL,10658168,10646926,257725,257361
