https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),30380,30380,690,690
Alagoas (AL),90384,90384,2221,2221
Amapá (AP),51427,51427,743,743
Amazonas (AM),158718,158718,4478,4478
Bahia (BA),347721,347721,7519,7519
Ceará (CE),271565,271006,9323,9305
Distrito Federal(DF),210774,210774,3653,3653
Espírito Santo (ES),152216,152143,3817,3816
Goiás (GO),251717,251400,5648,5648
Maranhão (MA),184668,184668,4014,4014
Mato Grosso (MT),141764,141013,3817,3761
Mato Grosso do Sul (MS),80538,80538,1566,1566
Minas Gerais (MG),351033,351033,8789,8789
Pará (PA),250336,249235,6733,6729
Paraíba (PB),131435,131435,3070,3070
Paraná (PR),209541,209541,5129,5129
Pernambuco (PE),160354,160354,8575,8575
Piauí (PI),111543,110864,2368,2363
Rio de Janeiro (RJ),304906,304904,20292,20292
Rio Grande do Norte (RN),80403,80067,2573,2564
Rio Grande do Sul (RS),238396,238396,5665,5665
Rondônia (RO),70887,70887,1448,1448
Roraima (RR),56182,56182,691,691
Santa Catarina (SC),249899,249899,3059,3059
São Paulo (SP),1098207,1098207,38885,38885
Sergipe (SE),83965,83965,2184,2184
Tocantins (TO),74500,74500,1089,1089
TOTAL,5443459,5439641,158039,157946
