https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),48467,48467,867,867
Alagoas (AL),117768,117768,2746,2746
Amapá (AP),77041,77041,1059,1059
Amazonas (AM),267394,267394,8117,8117
Bahia (BA),588106,588106,10097,10097
Ceará (CE),373611,373417,10477,10476
Distrito Federal(DF),277110,277110,4554,4554
Espírito Santo (ES),294129,294086,5858,5857
Goiás (GO),350729,350569,7488,7488
Maranhão (MA),207488,207488,4697,4697
Mato Grosso (MT),217020,215805,5129,5050
Mato Grosso do Sul (MS),161371,161021,2921,2909
Minas Gerais (MG),734486,734486,15060,15060
Pará (PA),329486,329306,7655,7636
Paraíba (PB),191584,191584,4056,4056
Paraná (PR),549333,549333,10030,10030
Pernambuco (PE),261300,261300,10348,10348
Piauí (PI),159290,159023,3065,3058
Rio de Janeiro (RJ),520967,520967,29811,29811
Rio Grande do Norte (RN),141684,140583,3306,3285
Rio Grande do Sul (RS),547282,547282,10669,10669
Rondônia (RO),124663,124663,2244,2244
Roraima (RR),74264,74115,856,856
Santa Catarina (SC),576815,576815,6340,6340
São Paulo (SP),1777368,1777368,53034,53034
Sergipe (SE),137417,137417,2778,2778
Tocantins (TO),102348,102217,1386,1382
TOTAL,9208521,9204731,224648,224504
