https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),43346,43346,826,826
Alagoas (AL),108820,108820,2569,2569
Amapá (AP),71287,71287,976,976
Amazonas (AM),216112,216112,5756,5756
Bahia (BA),513756,513756,9453,9453
Ceará (CE),345235,345124,10162,10160
Distrito Federal(DF),259797,259797,4368,4368
Espírito Santo (ES),265556,265313,5354,5354
Goiás (GO),319768,318013,6965,6965
Maranhão (MA),202050,202050,4568,4568
Mato Grosso (MT),191106,189132,4694,4619
Mato Grosso do Sul (MS),144051,144051,2565,2565
Minas Gerais (MG),595007,595007,12736,12736
Pará (PA),303512,302125,7339,7315
Paraíba (PB),173299,173299,3824,3824
Paraná (PR),474949,474949,8768,8768
Pernambuco (PE),232756,232756,9851,9851
Piauí (PI),148032,147509,2915,2906
Rio de Janeiro (RJ),461561,461561,26771,26771
Rio Grande do Norte (RN),125215,124523,3112,3098
Rio Grande do Sul (RS),482062,482062,9498,9498
Rondônia (RO),102518,102518,1926,1926
Roraima (RR),69888,69785,795,793
Santa Catarina (SC),522478,522478,5677,5677
São Paulo (SP),1549142,1549142,48379,48379
Sergipe (SE),123836,123836,2585,2585
Tocantins (TO),93261,93261,1274,1274
TOTAL,8138400,8131612,203706,203580
