https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),17462,17462,465,465
Alagoas (AL),50307,50307,1413,1413
Amapá (AP),34145,34145,515,515
Amazonas (AM),91389,91389,3149,3146
Bahia (BA),123292,123292,2891,2891
Ceará (CE),147818,147566,7256,7185
Distrito Federal(DF),84287,84287,1112,1112
Espírito Santo (ES),71703,71703,2256,2256
Goiás (GO),41433,40772,1145,1106
Maranhão (MA),106906,106906,2740,2740
Mato Grosso (MT),35673,35639,1386,1384
Mato Grosso do Sul (MS),16637,16637,228,228
Minas Gerais (MG),94132,94132,2004,2004
Pará (PA),140393,138396,5554,5538
Paraíba (PB),67685,67680,1517,1517
Paraná (PR),55909,55909,1357,1357
Pernambuco (PE),80115,80115,6036,6036
Piauí (PI),41433,39606,1140,1118
Rio de Janeiro (RJ),141005,141005,12161,12161
Rio Grande do Norte (RN),44083,43957,1590,1585
Rio Grande do Sul (RS),47449,47449,1285,1285
Rondônia (RO),29801,29801,710,710
Roraima (RR),25985,25686,435,431
Santa Catarina (SC),54414,54414,694,694
São Paulo (SP),416434,416434,19788,19788
Sergipe (SE),46059,46059,1156,1156
Tocantins (TO),17898,17898,299,299
TOTAL,2123847,2118646,80282,80120
