https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),21376,21376,556,556
Alagoas (AL),65916,65916,1654,1654
Amapá (AP),37964,37964,599,599
Amazonas (AM),105857,105857,3345,3345
Bahia (BA),187893,187892,3843,3843
Ceará (CE),186563,185409,7946,7921
Distrito Federal(DF),119903,119903,1682,1682
Espírito Santo (ES),89923,89923,2698,2698
Goiás (GO),84175,82807,1974,1946
Maranhão (MA),128846,128846,3138,3138
Mato Grosso (MT),62785,62785,2101,2037
Mato Grosso do Sul (MS),30707,29988,492,481
Minas Gerais (MG),147323,147323,3381,3381
Pará (PA),167099,164759,5871,5854
Paraíba (PB),89117,89117,1965,1965
Paraná (PR),88899,88899,2270,2270
Pernambuco (PE),102872,102872,6867,6867
Piauí (PI),59571,58390,1469,1452
Rio de Janeiro (RJ),175696,175696,14028,14028
Rio Grande do Norte (RN),55315,54717,1976,1965
Rio Grande do Sul (RS),79026,79026,2282,2282
Rondônia (RO),43390,43390,934,934
Roraima (RR),35933,35540,547,544
Santa Catarina (SC),101582,101582,1400,1400
São Paulo (SP),608379,608379,24735,24735
Sergipe (SE),63728,63728,1558,1558
Tocantins (TO),31103,30358,444,437
TOTAL,2970941,2962442,99755,99572
