https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),27246,27246,651,651
Alagoas (AL),85008,85008,2029,2029
Amapá (AP),47135,47135,695,695
Amazonas (AM),132687,132687,3967,3967
Bahia (BA),297805,297805,6359,6359
Ceará (CE),235222,235222,8850,8850
Distrito Federal(DF),185349,185349,3131,3131
Espírito Santo (ES),125975,125867,3444,3443
Goiás (GO),190362,187519,4250,4228
Maranhão (MA),168913,168913,3674,3674
Mato Grosso (MT),116000,115403,3318,3269
Mato Grosso do Sul (MS),65611,64959,1204,1191
Minas Gerais (MG),273233,273233,6764,6764
Pará (PA),223021,221639,6489,6477
Paraíba (PB),117495,117495,2729,2729
Paraná (PR),167678,167678,4185,4185
Pernambuco (PE),142488,142488,8055,8055
Piauí (PI),92030,91355,2061,2051
Rio de Janeiro (RJ),253756,253756,17798,17798
Rio Grande do Norte (RN),68000,67459,2364,2355
Rio Grande do Sul (RS),177485,177485,4472,4472
Rondônia (RO),63781,63781,1312,1312
Roraima (RR),48919,48542,616,616
Santa Catarina (SC),207692,207692,2671,2671
São Paulo (SP),945422,945422,34266,34266
Sergipe (SE),76193,76193,1993,1993
Tocantins (TO),64787,64273,890,877
TOTAL,4599293,4591604,138237,138108
