https://brasil.io/covid19/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),7983,7983,207,207
Alagoas (AL),16340,16340,622,622
Amapá (AP),13045,13045,272,272
Amazonas (AM),49269,49269,2250,2250
Bahia (BA),28250,28250,879,879
Ceará (CE),64271,64271,3982,3982
Distrito Federal(DF),16623,16623,214,214
Espírito Santo (ES),19619,19619,832,832
Goiás (GO),5857,5857,173,173
Maranhão (MA),48537,48537,1208,1208
Mato Grosso (MT),4033,4033,113,113
Mato Grosso do Sul (MS),2324,2324,22,22
Minas Gerais (MG),15703,15703,376,376
Pará (PA),54271,54271,3678,3678
Paraíba (PB),20951,20951,507,507
Paraná (PR),6987,6987,244,244
Pernambuco (PE),40242,40242,3305,3305
Piauí (PI),7621,7621,254,254
Rio de Janeiro (RJ),67756,67756,6707,6707
Rio Grande do Norte (RN),10888,10888,431,431
Rio Grande do Sul (RS),12135,12135,286,286
Rondônia (RO),8110,8110,235,235
Roraima (RR),5768,5768,145,145
Santa Catarina (SC),11565,11565,171,171
São Paulo (SP),143073,143073,9145,9145
Sergipe (SE),9290,9290,217,217
Tocantins (TO),5644,5644,99,99
TOTAL,696155,696155,36574,36574
