https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),23719,23719,600,600
Alagoas (AL),75857,75857,1818,1818
Amapá (AP),41120,41120,631,631
Amazonas (AM),115615,115615,3563,3563
Bahia (BA),236050,236050,4905,4905
Ceará (CE),205441,205441,8289,8289
Distrito Federal(DF),148998,148998,2274,2274
Espírito Santo (ES),105892,105892,3026,3026
Goiás (GO),116664,116664,2743,2743
Maranhão (MA),144400,144400,3352,3352
Mato Grosso (MT),81822,81253,2572,2525
Mato Grosso do Sul (MS),43065,42498,749,738
Minas Gerais (MG),194614,194614,4790,4790
Pará (PA),189582,189289,6062,6057
Paraíba (PB),101132,101132,2308,2308
Paraná (PR),117959,117959,2977,2977
Pernambuco (PE),119140,119140,7390,7390
Piauí (PI),72165,71899,1724,1714
Rio de Janeiro (RJ),210948,210948,15292,15292
Rio Grande do Norte (RN),59846,59582,2179,2170
Rio Grande do Sul (RS),109873,109873,3062,3062
Rondônia (RO),51421,51421,1065,1065
Roraima (RR),41770,41730,579,579
Santa Catarina (SC),132492,132492,2042,2042
São Paulo (SP),754129,754129,28467,28467
Sergipe (SE),70472,70472,1782,1782
Tocantins (TO),44273,43596,593,585
TOTAL,3608459,3605783,114834,114744
