https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),41689,41689,796,796
Alagoas (AL),105091,105091,2496,2496
Amapá (AP),68361,68361,926,926
Amazonas (AM),201574,201574,5295,5295
Bahia (BA),494684,494684,9159,9159
Ceará (CE),336504,335992,10004,9993
Distrito Federal(DF),252077,252077,4263,4263
Espírito Santo (ES),249271,249260,5093,5087
Goiás (GO),309191,309112,6805,6805
Maranhão (MA),200959,200959,4506,4506
Mato Grosso (MT),180659,179704,4530,4467
Mato Grosso do Sul (MS),135361,134750,2360,2347
Minas Gerais (MG),546884,546884,12001,12001
Pará (PA),293807,293802,7209,7199
Paraíba (PB),167062,167062,3680,3680
Paraná (PR),418323,418323,7993,7993
Pernambuco (PE),222993,222993,9666,9666
Piauí (PI),143210,143179,2848,2840
Rio de Janeiro (RJ),435390,435390,25600,25600
Rio Grande do Norte (RN),119338,118353,3009,2993
Rio Grande do Sul (RS),451912,451912,8917,8917
Rondônia (RO),95999,95999,1822,1822
Roraima (RR),68858,68710,787,787
Santa Catarina (SC),494447,494447,5270,5270
São Paulo (SP),1466191,1466191,46775,46775
Sergipe (SE),113544,113544,2492,2492
Tocantins (TO),90592,90536,1239,1236
TOTAL,7703971,7700578,195541,195411
