https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),29063,29063,675,675
Alagoas (AL),88880,88880,2144,2144
Amapá (AP),49424,49424,726,726
Amazonas (AM),147465,147465,4247,4247
Bahia (BA),326634,326634,7159,7159
Ceará (CE),260336,260222,9135,9135
Distrito Federal(DF),200412,200412,3439,3439
Espírito Santo (ES),139755,139755,3659,3659
Goiás (GO),229149,229071,5209,5205
Maranhão (MA),178890,178890,3876,3876
Mato Grosso (MT),132216,131532,3635,3581
Mato Grosso do Sul (MS),75076,74839,1449,1440
Minas Gerais (MG),323967,323967,8130,8130
Pará (PA),237996,237958,6657,6656
Paraíba (PB),125933,125933,2930,2930
Paraná (PR),193974,193974,4784,4784
Pernambuco (PE),153222,153222,8414,8414
Piauí (PI),102813,102500,2237,2230
Rio de Janeiro (RJ),283858,283858,19312,19312
Rio Grande do Norte (RN),73423,73071,2430,2420
Rio Grande do Sul (RS),214584,214584,5148,5148
Rondônia (RO),67973,67973,1398,1398
Roraima (RR),52701,52659,670,670
Santa Catarina (SC),228008,228008,2918,2918
São Paulo (SP),1038344,1038344,37279,37279
Sergipe (SE),79975,79975,2102,2102
Tocantins (TO),71269,71195,1012,1012
TOTAL,5105340,5103408,150774,150689
