https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),54786,54786,963,963
Alagoas (AL),128192,128192,2932,2932
Amapá (AP),82018,82015,1121,1121
Amazonas (AM),306003,306003,10462,10462
Bahia (BA),653335,653335,11191,11191
Ceará (CE),410907,409954,10968,10954
Distrito Federal(DF),289820,289820,4757,4757
Espírito Santo (ES),317739,317573,6276,6275
Goiás (GO),380286,380210,8288,8286
Maranhão (MA),215942,215942,4936,4936
Mato Grosso (MT),241772,240371,5625,5534
Mato Grosso do Sul (MS),175973,175544,3224,3204
Minas Gerais (MG),840315,840315,17714,17714
Pará (PA),355745,355128,8322,8278
Paraíba (PB),212286,212286,4356,4356
Paraná (PR),615066,615066,11142,11142
Pernambuco (PE),290500,290500,10849,10849
Piauí (PI),169722,169465,3249,3242
Rio de Janeiro (RJ),572007,572007,32173,32173
Rio Grande do Norte (RN),161964,160671,3520,3487
Rio Grande do Sul (RS),604385,604385,11771,11771
Rondônia (RO),142222,142222,2690,2690
Roraima (RR),79818,79606,1037,1037
Santa Catarina (SC),638984,638984,6961,6961
São Paulo (SP),1975927,1975927,57799,57799
Sergipe (SE),148026,148026,2909,2909
Tocantins (TO),110077,109841,1485,1481
TOTAL,10173817,10168174,246720,246504
