https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/24/casos-de-coronavirus-no-brasil-em-24-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),23,23
Alagoas (AL),11,11
Amapá (AP),2,1
Amazonas (AM),54,54
Bahia (BA),91,84
Ceará (CE),211,200
Distrito Federal(DF),191,160
Espírito Santo (ES),40,39
Goiás (GO),29,29
Maranhão (MA),8,8
Mato Grosso (MT),9,8
Mato Grosso do Sul (MS),24,24
Minas Gerais (MG),133,133
Pará (PA),7,7
Paraíba (PB),5,3
Paraná (PR),97,81
Pernambuco (PE),46,46
Piauí (PI),8,8
Rio de Janeiro (RJ),370,370
Rio Grande do Norte (RN),14,14
Rio Grande do Sul (RS),162,123
Rondônia (RO),5,5
Roraima (RR),8,8
Santa Catarina (SC),122,109
São Paulo (SP),862,862
Sergipe (SE),16,16
Tocantins (TO),7,7
TOTAL,2555,2433
