https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),24601,24601,608,608
Alagoas (AL),78483,78483,1870,1870
Amapá (AP),42771,42771,659,659
Amazonas (AM),120060,119859,3639,3634
Bahia (BA),254790,254790,5302,5302
Ceará (CE),214094,214094,8382,8382
Distrito Federal(DF),159526,159526,2450,2450
Espírito Santo (ES),110025,110025,3129,3129
Goiás (GO),130541,130316,3066,3060
Maranhão (MA),150895,150895,3424,3424
Mato Grosso (MT),90651,89962,2756,2706
Mato Grosso do Sul (MS),48522,48023,851,840
Minas Gerais (MG),212565,212565,5270,5270
Pará (PA),199171,198246,6115,6109
Paraíba (PB),105531,105531,2422,2420
Paraná (PR),128967,128967,3234,3234
Pernambuco (PE),124151,124151,7547,7547
Piauí (PI),77405,76916,1825,1804
Rio de Janeiro (RJ),222957,222957,16016,16016
Rio Grande do Norte (RN),61704,61507,2248,2242
Rio Grande do Sul (RS),124416,124416,3385,3385
Rondônia (RO),54496,54496,1125,1125
Roraima (RR),43470,43299,587,587
Santa Catarina (SC),146404,146404,2218,2218
São Paulo (SP),801422,801422,29944,29944
Sergipe (SE),72280,72280,1839,1839
Tocantins (TO),50373,49651,664,658
TOTAL,3850271,3846153,120575,120462
