https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),15167,15167,404,404
Alagoas (AL),42322,42322,1213,1213
Amapá (AP),30524,30524,462,462
Amazonas (AM),80082,80082,2967,2967
Bahia (BA),95536,95536,2277,2277
Ceará (CE),129598,128471,6665,6665
Distrito Federal(DF),64314,64314,801,801
Espírito Santo (ES),58537,58537,1911,1911
Goiás (GO),33367,32664,748,733
Maranhão (MA),92939,92939,2324,2324
Mato Grosso (MT),24804,23835,921,882
Mato Grosso do Sul (MS),11063,11063,134,134
Minas Gerais (MG),64035,64035,1355,1355
Pará (PA),120731,118744,5196,5169
Paraíba (PB),56349,56344,1171,1171
Paraná (PR),35715,35715,895,895
Pernambuco (PE),67604,67604,5323,5323
Piauí (PI),29745,28411,888,858
Rio de Janeiro (RJ),126329,126329,10970,10970
Rio Grande do Norte (RN),36511,36511,1326,1326
Rio Grande do Sul (RS),35557,35557,825,825
Rondônia (RO),25067,25067,585,585
Roraima (RR),20154,19284,393,386
Santa Catarina (SC),36810,36810,432,432
São Paulo (SP),341365,341365,16788,16788
Sergipe (SE),32490,32490,875,875
Tocantins (TO),13440,13440,233,233
TOTAL,1720155,1713160,68082,67964
