https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),20339,20339,539,539
Alagoas (AL),62778,62778,1607,1607
Amapá (AP),36804,36804,576,576
Amazonas (AM),102386,102386,3288,3288
Bahia (BA),171391,171391,3624,3624
Ceará (CE),176972,176961,7761,7752
Distrito Federal(DF),112044,112044,1546,1546
Espírito Santo (ES),85215,85215,2601,2601
Goiás (GO),70252,70252,1716,1716
Maranhão (MA),122482,122482,3069,3069
Mato Grosso (MT),55156,54711,1927,1907
Mato Grosso do Sul (MS),26645,26645,421,421
Minas Gerais (MG),133743,133743,2894,2894
Pará (PA),158277,156505,5799,5784
Paraíba (PB),84211,84211,1870,1870
Paraná (PR),80865,80865,2050,2050
Pernambuco (PE),98401,98401,6669,6669
Piauí (PI),53224,53224,1401,1385
Rio de Janeiro (RJ),168064,168064,13604,13604
Rio Grande do Norte (RN),52184,52030,1900,1894
Rio Grande do Sul (RS),71479,71479,2016,2016
Rondônia (RO),40016,40016,888,888
Roraima (RR),33188,33188,513,513
Santa Catarina (SC),88889,88889,1196,1196
São Paulo (SP),560218,560218,23365,23365
Sergipe (SE),60479,60479,1489,1489
Tocantins (TO),26998,26998,402,402
TOTAL,2752700,2750318,94731,94665
