https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),14688,14688,394,394
Alagoas (AL),40569,40569,1172,1172
Amapá (AP),30004,30004,449,449
Amazonas (AM),76427,76424,2938,2938
Bahia (BA),88279,88279,2168,2168
Ceará (CE),123394,122477,6504,6481
Distrito Federal(DF),60383,60383,726,726
Espírito Santo (ES),54547,54547,1838,1838
Goiás (GO),30187,29296,654,654
Maranhão (MA),90251,90251,2250,2250
Mato Grosso (MT),22078,21496,857,826
Mato Grosso do Sul (MS),10253,10253,122,122
Minas Gerais (MG),59626,59626,1230,1230
Pará (PA),116152,114535,5128,5105
Paraíba (PB),53151,53151,1118,1118
Paraná (PR),32769,32769,820,820
Pernambuco (PE),65642,65642,5163,5163
Piauí (PI),27514,26511,834,809
Rio de Janeiro (RJ),121879,121879,10698,10698
Rio Grande do Norte (RN),35056,34984,1254,1248
Rio Grande do Sul (RS),32401,32401,759,759
Rondônia (RO),23921,23921,558,558
Roraima (RR),19088,18948,376,371
Santa Catarina (SC),33822,33822,406,406
São Paulo (SP),323070,323070,16134,16134
Sergipe (SE),30718,30718,826,826
Tocantins (TO),12640,12640,224,224
TOTAL,1628509,1623284,65600,65487
