https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),36259,36259,723,723
Alagoas (AL),94984,94984,2339,2339
Amapá (AP),59131,59131,807,807
Amazonas (AM),178200,178200,4894,4894
Bahia (BA),403071,403071,8268,8268
Ceará (CE),301251,300627,9628,9612
Distrito Federal(DF),229146,229146,3930,3930
Espírito Santo (ES),190001,189871,4279,4272
Goiás (GO),279892,279413,6373,6351
Maranhão (MA),193170,193170,4296,4296
Mato Grosso (MT),158982,158133,4142,4085
Mato Grosso do Sul (MS),100151,99061,1780,1769
Minas Gerais (MG),416335,416335,10041,10041
Pará (PA),271228,270548,6918,6915
Paraíba (PB),145253,145253,3295,3295
Paraná (PR),280084,280084,6154,6154
Pernambuco (PE),182406,182406,9037,9037
Piauí (PI),127686,127014,2634,2624
Rio de Janeiro (RJ),354354,354354,22590,22590
Rio Grande do Norte (RN),96096,95123,2706,2688
Rio Grande do Sul (RS),322058,322058,6813,6813
Rondônia (RO),80538,80538,1561,1561
Roraima (RR),63572,63322,728,727
Santa Catarina (SC),364344,364344,3762,3762
São Paulo (SP),1241653,1241653,42095,42095
Sergipe (SE),90148,90148,2308,2308
Tocantins (TO),81972,81632,1167,1164
TOTAL,6341965,6335878,173268,173120
