https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/22/casos-de-coronavirus-no-brasil-em-22-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),17,11
Alagoas (AL),8,7
Amapá (AP),1,1
Amazonas (AM),32,32
Bahia (BA),63,63
Ceará (CE),164,163
Distrito Federal(DF),146,133
Espírito Santo (ES),33,29
Goiás (GO),23,23
Maranhão (MA),8,2
Mato Grosso (MT),6,2
Mato Grosso do Sul (MS),21,21
Minas Gerais (MG),128,128
Pará (PA),5,5
Paraíba (PB),2,2
Paraná (PR),60,56
Pernambuco (PE),42,42
Piauí (PI),6,6
Rio de Janeiro (RJ),233,233
Rio Grande do Norte (RN),13,13
Rio Grande do Sul (RS),96,86
Rondônia (RO),3,3
Roraima (RR),2,2
Santa Catarina (SC),86,68
São Paulo (SP),745,745
Sergipe (SE),10,10
Tocantins (TO),7,5
TOTAL,1960,1891
