https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),42378,42378,814,814
Alagoas (AL),106881,106881,2529,2529
Amapá (AP),69469,69469,950,950
Amazonas (AM),207092,207092,5500,5500
Bahia (BA),502938,502938,9304,9304
Ceará (CE),340312,340089,10062,10056
Distrito Federal(DF),255875,255875,4328,4328
Espírito Santo (ES),257295,255907,5231,5206
Goiás (GO),313755,313439,6901,6901
Maranhão (MA),201454,201454,4537,4537
Mato Grosso (MT),185745,184232,4619,4546
Mato Grosso do Sul (MS),139152,139152,2459,2459
Minas Gerais (MG),566207,566207,12211,12211
Pará (PA),297974,296752,7263,7247
Paraíba (PB),169646,169646,3755,3755
Paraná (PR),430873,430873,8233,8233
Pernambuco (PE),226940,226940,9731,9731
Piauí (PI),145384,144857,2882,2873
Rio de Janeiro (RJ),448089,448089,26068,26068
Rio Grande do Norte (RN),121495,120836,3073,3059
Rio Grande do Sul (RS),465337,465337,9226,9226
Rondônia (RO),98811,98811,1875,1875
Roraima (RR),69326,69180,793,789
Santa Catarina (SC),506897,506897,5482,5482
São Paulo (SP),1501085,1501085,47511,47511
Sergipe (SE),117818,117818,2532,2532
Tocantins (TO),91596,91596,1252,1252
TOTAL,7879824,7873830,199121,198974
