https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),42046,42046,802,802
Alagoas (AL),105714,105714,2509,2509
Amapá (AP),68568,68568,927,927
Amazonas (AM),202413,202413,5345,5345
Bahia (BA),496008,496008,9218,9218
Ceará (CE),336763,336763,10024,10024
Distrito Federal(DF),253355,253355,4269,4269
Espírito Santo (ES),251649,251643,5124,5122
Goiás (GO),309454,309341,6805,6805
Maranhão (MA),201017,201017,4518,4518
Mato Grosso (MT),181335,180380,4552,4488
Mato Grosso do Sul (MS),136250,135917,2398,2372
Minas Gerais (MG),550672,550672,12037,12037
Pará (PA),294224,294010,7223,7217
Paraíba (PB),168044,168044,3706,3706
Paraná (PR),421315,421315,8028,8028
Pernambuco (PE),223540,223540,9679,9679
Piauí (PI),143651,143489,2856,2854
Rio de Janeiro (RJ),435739,435739,25616,25616
Rio Grande do Norte (RN),119835,119079,3025,3000
Rio Grande do Sul (RS),454757,454757,8954,8954
Rondônia (RO),96906,96906,1832,1832
Roraima (RR),68947,68875,787,787
Santa Catarina (SC),497345,497345,5314,5314
São Paulo (SP),1471422,1471422,46845,46845
Sergipe (SE),114685,114685,2508,2508
Tocantins (TO),90860,90703,1244,1242
TOTAL,7736514,7733746,196145,196018
