https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),38412,38412,750,750
Alagoas (AL),98612,98612,2376,2376
Amapá (AP),63313,63313,849,849
Amazonas (AM),186828,186828,5001,5001
Bahia (BA),444661,444661,8610,8610
Ceará (CE),315936,315913,9786,9784
Distrito Federal(DF),239096,239096,4066,4066
Espírito Santo (ES),213124,212304,4571,4560
Goiás (GO),293418,292689,6549,6534
Maranhão (MA),197056,197056,4380,4380
Mato Grosso (MT),166974,166111,4259,4202
Mato Grosso do Sul (MS),113981,113298,1949,1931
Minas Gerais (MG),468023,468023,10701,10701
Pará (PA),280714,280272,7003,6998
Paraíba (PB),153649,153649,3439,3439
Paraná (PR),329782,329782,6764,6764
Pernambuco (PE),198684,198684,9284,9284
Piauí (PI),134892,134717,2723,2722
Rio de Janeiro (RJ),389125,389125,23722,23722
Rio Grande do Norte (RN),104829,103916,2819,2796
Rio Grande do Sul (RS),376590,376590,7587,7587
Rondônia (RO),85854,85854,1642,1642
Roraima (RR),66454,66407,755,755
Santa Catarina (SC),427401,427401,4365,4365
São Paulo (SP),1334703,1334703,44018,44018
Sergipe (SE),99151,99151,2365,2365
Tocantins (TO),85549,85385,1203,1201
TOTAL,6906811,6901952,181536,181402
