https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),37428,37428,736,736
Alagoas (AL),96784,96784,2357,2357
Amapá (AP),61393,61393,831,831
Amazonas (AM),182875,182875,4964,4964
Bahia (BA),424704,424704,8445,8445
Ceará (CE),308273,304714,9737,9704
Distrito Federal(DF),234376,234376,4001,4001
Espírito Santo (ES),202147,201881,4431,4424
Goiás (GO),287245,286374,6480,6463
Maranhão (MA),195221,195221,4344,4344
Mato Grosso (MT),163002,162162,4203,4147
Mato Grosso do Sul (MS),107235,105246,1852,1841
Minas Gerais (MG),442186,442186,10341,10341
Pará (PA),276221,275551,6959,6954
Paraíba (PB),149989,149989,3367,3367
Paraná (PR),304220,304220,6471,6471
Pernambuco (PE),191161,191161,9170,9170
Piauí (PI),132095,131454,2691,2680
Rio de Janeiro (RJ),371376,371376,23151,23151
Rio Grande do Norte (RN),99304,98553,2764,2741
Rio Grande do Sul (RS),350569,350569,7235,7235
Rondônia (RO),83392,83392,1604,1604
Roraima (RR),65084,65015,744,744
Santa Catarina (SC),399691,399691,4041,4041
São Paulo (SP),1288878,1288878,43040,43040
Sergipe (SE),95174,95174,2337,2337
Tocantins (TO),83948,83544,1187,1184
TOTAL,6633971,6623911,177483,177317
