https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),23337,23337,598,598
Alagoas (AL),74839,74839,1802,1802
Amapá (AP),40875,40875,627,627
Amazonas (AM),114792,114792,3556,3556
Bahia (BA),229743,229743,4757,4757
Ceará (CE),202999,202999,8268,8268
Distrito Federal(DF),145452,145452,2242,2242
Espírito Santo (ES),104988,104911,3002,3000
Goiás (GO),114705,113051,2688,2647
Maranhão (MA),143103,143103,3328,3328
Mato Grosso (MT),80876,80134,2540,2492
Mato Grosso do Sul (MS),41888,40711,722,696
Minas Gerais (MG),188623,188623,4663,4663
Pará (PA),188644,186646,6047,6037
Paraíba (PB),100290,100290,2268,2268
Paraná (PR),114588,114588,2928,2928
Pernambuco (PE),117431,117431,7335,7335
Piauí (PI),71510,70536,1701,1672
Rio de Janeiro (RJ),207036,207036,15202,15202
Rio Grande do Norte (RN),59590,59191,2171,2154
Rio Grande do Sul (RS),104335,104335,2993,2993
Rondônia (RO),50514,50514,1050,1050
Roraima (RR),41527,41191,579,576
Santa Catarina (SC),130349,130349,1995,1995
São Paulo (SP),735960,735960,28155,28155
Sergipe (SE),69845,69845,1761,1761
Tocantins (TO),42839,41848,573,556
TOTAL,3540678,3532330,113551,113358
