https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),28409,28409,661,661
Alagoas (AL),87504,87504,2078,2078
Amapá (AP),48385,48385,712,712
Amazonas (AM),140240,140240,4159,4159
Bahia (BA),312050,312050,6795,6795
Ceará (CE),242021,241684,9047,9023
Distrito Federal(DF),193127,193127,3276,3276
Espírito Santo (ES),132350,132350,3551,3551
Goiás (GO),213580,212186,4771,4723
Maranhão (MA),174195,174195,3766,3766
Mato Grosso (MT),125022,124370,3479,3428
Mato Grosso do Sul (MS),70828,70239,1326,1311
Minas Gerais (MG),298607,298607,7436,7436
Pará (PA),232803,231743,6585,6582
Paraíba (PB),121809,121809,2835,2835
Paraná (PR),180805,180805,4527,4527
Pernambuco (PE),147872,147872,8279,8279
Piauí (PI),97498,96849,2132,2127
Rio de Janeiro (RJ),266235,266235,18567,18567
Rio Grande do Norte (RN),70356,69715,2406,2395
Rio Grande do Sul (RS),197186,197186,4815,4815
Rondônia (RO),66261,66261,1367,1367
Roraima (RR),51013,50681,659,654
Santa Catarina (SC),216624,216624,2821,2821
São Paulo (SP),991725,991725,35804,35804
Sergipe (SE),77635,77635,2040,2040
Tocantins (TO),69008,68606,957,948
TOTAL,4853148,4847092,144851,144680
