https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/19/casos-de-coronavirus-no-brasil-em-19-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),3,3
Alagoas (AL),4,4
Amapá (AP),0,0
Amazonas (AM),3,3
Bahia (BA),30,30
Ceará (CE),24,20
Distrito Federal(DF),42,42
Espírito Santo (ES),13,11
Goiás (GO),12,12
Maranhão (MA),0,0
Mato Grosso (MT),0,0
Mato Grosso do Sul (MS),9,7
Minas Gerais (MG),29,29
Pará (PA),1,1
Paraíba (PB),1,1
Paraná (PR),23,23
Pernambuco (PE),28,28
Piauí (PI),3,0
Rio de Janeiro (RJ),66,65
Rio Grande do Norte (RN),1,1
Rio Grande do Sul (RS),30,28
Rondônia (RO),0,0
Roraima (RR),0,0
Santa Catarina (SC),20,20
São Paulo (SP),286,286
Sergipe (SE),6,6
Tocantins (TO),1,1
TOTAL,635,621
