https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),27885,27885,657,657
Alagoas (AL),86393,86393,2062,2062
Amapá (AP),47935,47935,704,704
Amazonas (AM),136708,136708,4031,4031
Bahia (BA),306629,306629,6648,6648
Ceará (CE),239465,239062,8948,8921
Distrito Federal(DF),190505,190505,3203,3203
Espírito Santo (ES),129796,129796,3524,3524
Goiás (GO),204932,202754,4582,4529
Maranhão (MA),172176,172176,3735,3735
Mato Grosso (MT),121762,121145,3423,3372
Mato Grosso do Sul (MS),68963,68325,1293,1278
Minas Gerais (MG),290137,290137,7240,7240
Pará (PA),229175,228068,6560,6551
Paraíba (PB),119987,119987,2804,2804
Paraná (PR),175982,175982,4378,4378
Pernambuco (PE),145096,145096,8190,8190
Piauí (PI),95227,94733,2107,2101
Rio de Janeiro (RJ),262006,262006,18291,18291
Rio Grande do Norte (RN),69263,68765,2392,2377
Rio Grande do Sul (RS),185778,185778,4648,4648
Rondônia (RO),65386,65386,1340,1340
Roraima (RR),50185,49968,641,637
Santa Catarina (SC),213066,213066,2765,2765
São Paulo (SP),973142,973142,35125,35125
Sergipe (SE),77172,77172,2025,2025
Tocantins (TO),66865,66865,922,922
TOTAL,4751616,4745464,142238,142058
