https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),26166,26166,640,640
Alagoas (AL),82230,82230,1979,1979
Amapá (AP),45853,45853,678,678
Amazonas (AM),127132,127132,3892,3892
Bahia (BA),282517,282517,5961,5961
Ceará (CE),227449,227449,8686,8686
Distrito Federal(DF),176837,176837,2899,2899
Espírito Santo (ES),119548,119548,3346,3346
Goiás (GO),163535,163098,3805,3800
Maranhão (MA),162583,162583,3580,3580
Mato Grosso (MT),105445,104913,3130,3082
Mato Grosso do Sul (MS),59408,59077,1085,1065
Minas Gerais (MG),252263,252263,6276,6276
Pará (PA),214806,214376,6368,6344
Paraíba (PB),112961,112961,2627,2627
Paraná (PR),154171,154171,3823,3823
Pernambuco (PE),136672,136672,7874,7874
Piauí (PI),86538,86396,1973,1967
Rio de Janeiro (RJ),242491,242491,16990,16990
Rio Grande do Norte (RN),65584,65300,2325,2315
Rio Grande do Sul (RS),156903,156903,4055,4055
Rondônia (RO),60484,60484,1246,1246
Roraima (RR),46545,46478,610,610
Santa Catarina (SC),197745,197745,2529,2529
São Paulo (SP),892257,892257,32606,32606
Sergipe (SE),74833,74833,1949,1949
Tocantins (TO),60035,59722,814,806
TOTAL,4332991,4330455,131746,131625
