https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/21/casos-de-coronavirus-no-brasil-em-21-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),11,9
Alagoas (AL),7,7
Amapá (AP),1,1
Amazonas (AM),11,11
Bahia (BA),41,41
Ceará (CE),84,68
Distrito Federal(DF),108,100
Espírito Santo (ES),26,26
Goiás (GO),18,20
Maranhão (MA),2,2
Mato Grosso (MT),2,2
Mato Grosso do Sul (MS),16,16
Minas Gerais (MG),55,38
Pará (PA),2,2
Paraíba (PB),1,1
Paraná (PR),43,43
Pernambuco (PE),33,30
Piauí (PI),4,4
Rio de Janeiro (RJ),119,119
Rio Grande do Norte (RN),9,6
Rio Grande do Sul (RS),61,60
Rondônia (RO),3,1
Roraima (RR),2,2
Santa Catarina (SC),51,51
São Paulo (SP),459,459
Sergipe (SE),7,7
Tocantins (TO),2,2
TOTAL,1178,1128
