https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/20/casos-de-coronavirus-no-brasil-em-20-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),7,7
Alagoas (AL),6,5
Amapá (AP),1,1
Amazonas (AM),7,3
Bahia (BA),33,33
Ceará (CE),68,55
Distrito Federal(DF),87,87
Espírito Santo (ES),16,13
Goiás (GO),15,15
Maranhão (MA),0,0
Mato Grosso (MT),1,1
Mato Grosso do Sul (MS),12,9
Minas Gerais (MG),38,35
Pará (PA),2,2
Paraíba (PB),1,1
Paraná (PR),36,32
Pernambuco (PE),31,30
Piauí (PI),4,3
Rio de Janeiro (RJ),109,109
Rio Grande do Norte (RN),1,1
Rio Grande do Sul (RS),56,37
Rondônia (RO),1,1
Roraima (RR),0,0
Santa Catarina (SC),28,21
São Paulo (SP),396,396
Sergipe (SE),7,6
Tocantins (TO),1,1
TOTAL,977,904
