https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),29031,29031,674,674
Alagoas (AL),88790,88790,2132,2132
Amapá (AP),49303,49303,725,725
Amazonas (AM),147038,147038,4235,4235
Bahia (BA),324964,324964,7099,7099
Ceará (CE),259767,259764,9133,9130
Distrito Federal(DF),199569,199569,3412,3412
Espírito Santo (ES),138462,138442,3646,3646
Goiás (GO),228714,228538,5189,5181
Maranhão (MA),178549,178549,3860,3860
Mato Grosso (MT),131854,131175,3614,3560
Mato Grosso do Sul (MS),74675,74567,1433,1425
Minas Gerais (MG),321140,321140,8061,8061
Pará (PA),237938,237925,6654,6645
Paraíba (PB),125713,125713,2914,2914
Paraná (PR),191135,191135,4755,4755
Pernambuco (PE),152998,152998,8408,8408
Piauí (PI),102268,101951,2217,2206
Rio de Janeiro (RJ),283407,283407,19284,19284
Rio Grande do Norte (RN),72900,72625,2425,2416
Rio Grande do Sul (RS),213782,213782,5135,5135
Rondônia (RO),67812,67812,1396,1396
Roraima (RR),52637,52440,670,670
Santa Catarina (SC),226614,226614,2908,2908
São Paulo (SP),1034816,1034816,37223,37223
Sergipe (SE),79501,79501,2089,2089
Tocantins (TO),71136,71048,1011,1009
TOTAL,5084513,5082637,150302,150198
