https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),30954,30954,693,693
Alagoas (AL),90918,90918,2246,2246
Amapá (AP),52653,52653,749,749
Amazonas (AM),162139,162139,4565,4565
Bahia (BA),354576,354576,7667,7667
Ceará (CE),274673,274615,9362,9362
Distrito Federal(DF),213636,213636,3695,3695
Espírito Santo (ES),156681,156681,3864,3864
Goiás (GO),256256,256161,5762,5762
Maranhão (MA),185986,185986,4070,4070
Mato Grosso (MT),143978,143241,3862,3807
Mato Grosso do Sul (MS),83022,82884,1612,1609
Minas Gerais (MG),360830,360830,9047,9047
Pará (PA),253449,253229,6762,6758
Paraíba (PB),133286,133286,3108,3108
Paraná (PR),214450,214450,5232,5232
Pernambuco (PE),163039,163039,8638,8638
Piauí (PI),113942,113774,2432,2420
Rio de Janeiro (RJ),311308,311308,20636,20636
Rio Grande do Norte (RN),81901,81491,2592,2582
Rio Grande do Sul (RS),249437,249437,5805,5805
Rondônia (RO),71953,71953,1457,1457
Roraima (RR),57624,57488,692,692
Santa Catarina (SC),261543,261543,3129,3129
São Paulo (SP),1117795,1117795,39346,39346
Sergipe (SE),84491,84491,2217,2217
Tocantins (TO),75680,75648,1100,1097
TOTAL,5556200,5554206,160340,160253
