https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),21033,21033,547,547
Alagoas (AL),64194,64194,1633,1633
Amapá (AP),37318,37318,588,588
Amazonas (AM),104250,104250,3317,3317
Bahia (BA),179738,179737,3736,3736
Ceará (CE),182453,181443,7873,7867
Distrito Federal(DF),115966,115966,1605,1572
Espírito Santo (ES),87243,87242,2646,2646
Goiás (GO),78403,76605,1888,1830
Maranhão (MA),125459,125459,3103,3103
Mato Grosso (MT),58506,58506,2013,1945
Mato Grosso do Sul (MS),28315,28315,442,442
Minas Gerais (MG),139661,139661,3195,3195
Pará (PA),162822,160695,5835,5818
Paraíba (PB),87071,87071,1922,1922
Paraná (PR),85317,85317,2164,2164
Pernambuco (PE),100321,100321,6758,6758
Piauí (PI),57100,55919,1436,1417
Rio de Janeiro (RJ),172679,172679,13855,13855
Rio Grande do Norte (RN),53649,53490,1939,1933
Rio Grande do Sul (RS),76563,76563,2163,2163
Rondônia (RO),42021,42020,918,918
Roraima (RR),34296,34296,532,532
Santa Catarina (SC),95410,95410,1306,1306
São Paulo (SP),585265,585265,24109,24109
Sergipe (SE),61986,61986,1525,1525
Tocantins (TO),28312,28312,415,415
TOTAL,2865351,2859073,97463,97256
