https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),34849,34849,714,714
Alagoas (AL),93569,93569,2321,2321
Amapá (AP),56922,56922,792,792
Amazonas (AM),173780,173780,4797,4797
Bahia (BA),386321,386321,8123,8123
Ceará (CE),293249,292663,9514,9492
Distrito Federal(DF),224517,224517,3882,3882
Espírito Santo (ES),179517,179397,4149,4148
Goiás (GO),274139,273771,6263,6246
Maranhão (MA),191366,191366,4241,4241
Mato Grosso (MT),155452,154652,4097,4041
Mato Grosso do Sul (MS),92970,92970,1727,1727
Minas Gerais (MG),398014,398014,9794,9794
Pará (PA),266780,266273,6875,6871
Paraíba (PB),142588,142588,3256,3256
Paraná (PR),257438,257438,5879,5879
Pernambuco (PE),176158,176158,8926,8926
Piauí (PI),123378,122929,2591,2584
Rio de Janeiro (RJ),338688,338688,22028,22028
Rio Grande do Norte (RN),87158,86768,2670,2660
Rio Grande do Sul (RS),298670,298670,6524,6524
Rondônia (RO),77615,77615,1522,1522
Roraima (RR),62015,62015,720,720
Santa Catarina (SC),327961,327961,3494,3494
São Paulo (SP),1210625,1210625,41276,41276
Sergipe (SE),87477,87477,2279,2279
Tocantins (TO),79612,79612,1148,1148
TOTAL,6090828,6087608,169602,169485
