https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),35304,35304,722,722
Alagoas (AL),94060,94060,2329,2329
Amapá (AP),58043,58043,802,802
Amazonas (AM),176214,176214,4856,4856
Bahia (BA),392381,392381,8185,8185
Ceará (CE),297793,297152,9565,9545
Distrito Federal(DF),226697,226697,3910,3910
Espírito Santo (ES),184801,184633,4207,4206
Goiás (GO),276943,276943,6305,6305
Maranhão (MA),192501,192501,4263,4263
Mato Grosso (MT),157524,156712,4116,4060
Mato Grosso do Sul (MS),95721,95193,1754,1748
Minas Gerais (MG),406880,406880,9904,9904
Pará (PA),269057,268524,6892,6884
Paraíba (PB),144378,144378,3276,3276
Paraná (PR),269258,269258,6043,6043
Pernambuco (PE),178639,178639,8987,8987
Piauí (PI),125155,124494,2608,2603
Rio de Janeiro (RJ),346024,346024,22394,22394
Rio Grande do Norte (RN),93048,88767,2688,2666
Rio Grande do Sul (RS),308647,308647,6686,6686
Rondônia (RO),78788,78788,1535,1535
Roraima (RR),62757,62603,724,723
Santa Catarina (SC),343007,343007,3608,3608
São Paulo (SP),1229267,1229267,41773,41773
Sergipe (SE),88661,88661,2292,2292
Tocantins (TO),80717,80450,1157,1155
TOTAL,6212265,6204220,171581,171460
