https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),47936,47936,861,861
Alagoas (AL),116773,116773,2728,2728
Amapá (AP),76688,76688,1057,1057
Amazonas (AM),261574,261574,7793,7793
Bahia (BA),581880,581880,10021,10021
Ceará (CE),370300,369245,10465,10465
Distrito Federal(DF),275688,275688,4533,4533
Espírito Santo (ES),292388,292269,5820,5820
Goiás (GO),350257,349317,7480,7480
Maranhão (MA),207145,207145,4678,4678
Mato Grosso (MT),215555,214346,5095,5095
Mato Grosso do Sul (MS),160623,159881,2898,2898
Minas Gerais (MG),721967,721967,14819,14819
Pará (PA),328800,327281,7618,7618
Paraíba (PB),189415,189415,4036,4036
Paraná (PR),543568,543568,9923,9923
Pernambuco (PE),258725,258725,10304,10304
Piauí (PI),158584,157775,3051,3051
Rio de Janeiro (RJ),516868,516868,29563,29563
Rio Grande do Norte (RN),140716,138812,3296,3296
Rio Grande do Sul (RS),543499,543499,10615,10615
Rondônia (RO),123200,123200,2216,2216
Roraima (RR),73909,73654,856,856
Santa Catarina (SC),573104,573104,6298,6298
São Paulo (SP),1759957,1759957,52722,52722
Sergipe (SE),136280,136280,2766,2766
Tocantins (TO),102108,101666,1376,1376
TOTAL,9127507,9118513,222888,222888
