https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),36563,36563,726,726
Alagoas (AL),95152,95152,2341,2341
Amapá (AP),59423,59423,810,810
Amazonas (AM),179265,179265,4896,4896
Bahia (BA),406189,406189,8293,8293
Ceará (CE),301606,301414,9638,9629
Distrito Federal(DF),230122,230122,3939,3939
Espírito Santo (ES),191973,191798,4296,4295
Goiás (GO),281635,280378,6386,6377
Maranhão (MA),193550,193550,4305,4305
Mato Grosso (MT),159726,158903,4152,4096
Mato Grosso do Sul (MS),101102,100151,1793,1780
Minas Gerais (MG),419655,419655,10051,10051
Pará (PA),272125,271228,6927,6918
Paraíba (PB),145794,145794,3305,3305
Paraná (PR),285323,285323,6215,6215
Pernambuco (PE),184259,184259,9056,9056
Piauí (PI),128432,127686,2644,2634
Rio de Janeiro (RJ),357982,357982,22683,22683
Rio Grande do Norte (RN),97132,95660,2715,2695
Rio Grande do Sul (RS),326425,326425,6900,6900
Rondônia (RO),80802,80802,1567,1567
Roraima (RR),63899,63572,734,728
Santa Catarina (SC),372545,372545,3809,3809
São Paulo (SP),1250590,1250590,42290,42290
Sergipe (SE),90386,90386,2312,2312
Tocantins (TO),82295,81972,1170,1167
TOTAL,6393950,6386787,173953,173817
