https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),18157,18157,474,474
Alagoas (AL),52529,52529,1457,1457
Amapá (AP),34838,34838,548,548
Amazonas (AM),94219,94219,3193,3193
Bahia (BA),138358,138358,3044,3044
Ceará (CE),156265,156242,7411,7374
Distrito Federal(DF),90023,90023,1218,1218
Espírito Santo (ES),74610,74608,2341,2341
Goiás (GO),51423,50458,1295,1262
Maranhão (MA),111488,111488,2840,2840
Mato Grosso (MT),41016,40755,1498,1491
Mato Grosso do Sul (MS),19671,19671,266,266
Minas Gerais (MG),102568,102568,2238,2238
Pará (PA),146252,144467,5646,5616
Paraíba (PB),73104,73104,1618,1618
Paraná (PR),62004,62004,1545,1545
Pernambuco (PE),83240,83240,6211,6211
Piauí (PI),44349,43179,1215,1184
Rio de Janeiro (RJ),151549,151549,12535,12535
Rio Grande do Norte (RN),46187,46056,1656,1650
Rio Grande do Sul (RS),54841,54841,1456,1456
Rondônia (RO),34080,34080,784,784
Roraima (RR),28874,27932,465,458
Santa Catarina (SC),62282,62282,812,812
São Paulo (SP),452007,452007,20894,20894
Sergipe (SE),49397,49397,1247,1247
Tocantins (TO),19423,19423,326,326
TOTAL,2292754,2287475,84233,84082
