https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),24840,24840,616,616
Alagoas (AL),79258,79258,1895,1895
Amapá (AP),43514,43514,663,663
Amazonas (AM),120919,120919,3661,3661
Bahia (BA),259418,259418,5448,5448
Ceará (CE),217295,216333,8459,8447
Distrito Federal(DF),163498,163498,2573,2573
Espírito Santo (ES),112072,111979,3184,3181
Goiás (GO),136741,135460,3242,3212
Maranhão (MA),152681,152681,3457,3457
Mato Grosso (MT),93929,92856,2837,2786
Mato Grosso do Sul (MS),49820,49820,890,889
Minas Gerais (MG),218781,218781,5364,5364
Pará (PA),202436,200985,6201,6176
Paraíba (PB),106605,106605,2465,2465
Paraná (PR),133574,133574,3345,3345
Pernambuco (PE),127287,127287,7614,7614
Piauí (PI),78922,77859,1846,1843
Rio de Janeiro (RJ),226800,226800,16217,16217
Rio Grande do Norte (RN),62204,61991,2273,2265
Rio Grande do Sul (RS),127799,127799,3501,3501
Rondônia (RO),55768,55768,1155,1155
Roraima (RR),44036,43707,595,593
Santa Catarina (SC),180474,180474,2301,2301
São Paulo (SP),814375,814375,30375,30375
Sergipe (SE),72723,72721,1867,1867
Tocantins (TO),51629,51629,687,687
TOTAL,3957398,3950931,122731,122596
