https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),32661,32661,707,707
Alagoas (AL),92328,92328,2288,2288
Amapá (AP),54417,54417,774,774
Amazonas (AM),168596,168596,4683,4683
Bahia (BA),371378,371378,7902,7902
Ceará (CE),283463,282791,9435,9432
Distrito Federal(DF),219012,219012,3808,3808
Espírito Santo (ES),168358,168162,3993,3992
Goiás (GO),267319,266752,6029,5936
Maranhão (MA),189321,189321,4162,4162
Mato Grosso (MT),151893,151119,4036,3981
Mato Grosso do Sul (MS),87602,87081,1688,1683
Minas Gerais (MG),379274,379274,9405,9405
Pará (PA),261534,261131,6817,6808
Paraíba (PB),137942,137942,3193,3193
Paraná (PR),227823,227823,5610,5610
Pernambuco (PE),169710,169710,8805,8805
Piauí (PI),119940,119456,2523,2516
Rio de Janeiro (RJ),323006,323006,21162,21162
Rio Grande do Norte (RN),83762,83277,2649,2638
Rio Grande do Sul (RS),274411,274411,6168,6168
Rondônia (RO),74598,74598,1497,1497
Roraima (RR),60416,60156,706,705
Santa Catarina (SC),289787,289787,3298,3298
São Paulo (SP),1162782,1162782,40202,40202
Sergipe (SE),85893,85893,2254,2254
Tocantins (TO),77972,77788,1133,1128
TOTAL,5815198,5810652,164927,164737
