https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/30/casos-de-coronavirus-no-brasil-em-30-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),41,41
Alagoas (AL),17,17
Amapá (AP),8,8
Amazonas (AM),151,151
Bahia (BA),176,176
Ceará (CE),382,382
Distrito Federal(DF),312,312
Espírito Santo (ES),85,85
Goiás (GO),60,60
Maranhão (MA),31,31
Mato Grosso (MT),18,18
Mato Grosso do Sul (MS),44,44
Minas Gerais (MG),261,261
Pará (PA),26,26
Paraíba (PB),17,17
Paraná (PR),160,160
Pernambuco (PE),77,77
Piauí (PI),18,18
Rio de Janeiro (RJ),657,657
Rio Grande do Norte (RN),77,77
Rio Grande do Sul (RS),254,254
Rondônia (RO),8,8
Roraima (RR),16,16
Santa Catarina (SC),219,219
São Paulo (SP),1517,1517
Sergipe (SE),18,18
Tocantins (TO),11,11
TOTAL,4661,4661
