https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),50694,50694,893,893
Alagoas (AL),121145,121145,2814,2814
Amapá (AP),78990,78990,1083,1083
Amazonas (AM),283658,283658,9116,9116
Bahia (BA),609755,609755,10412,10412
Ceará (CE),384819,384531,10619,10612
Distrito Federal(DF),281546,281546,4631,4631
Espírito Santo (ES),303740,303541,6019,6012
Goiás (GO),362898,361313,7725,7710
Maranhão (MA),210017,210017,4787,4787
Mato Grosso (MT),227208,225247,5334,5244
Mato Grosso do Sul (MS),166940,165903,3053,3024
Minas Gerais (MG),776215,776215,15967,15967
Pará (PA),341050,339273,7854,7824
Paraíba (PB),198735,198735,4158,4158
Paraná (PR),571355,571355,10432,10432
Pernambuco (PE),271542,271542,10508,10508
Piauí (PI),163087,162637,3139,3131
Rio de Janeiro (RJ),540087,540087,30700,30700
Rio Grande do Norte (RN),146782,145270,3384,3340
Rio Grande do Sul (RS),564709,564709,11028,11028
Rondônia (RO),132167,132167,2369,2369
Roraima (RR),76043,75820,896,896
Santa Catarina (SC),595952,595952,6557,6557
São Paulo (SP),1851776,1851776,54663,54663
Sergipe (SE),141464,141464,2834,2834
Tocantins (TO),105184,104737,1430,1425
TOTAL,9557558,9548079,232405,232170
