https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),33475,33475,709,709
Alagoas (AL),92815,92815,2301,2301
Amapá (AP),55382,55382,782,782
Amazonas (AM),170458,170458,4723,4723
Bahia (BA),375374,375374,7989,7989
Ceará (CE),287629,287242,9448,9448
Distrito Federal(DF),221031,221031,3837,3837
Espírito Santo (ES),172924,172924,4037,4037
Goiás (GO),269805,269217,6092,6071
Maranhão (MA),189936,189936,4195,4195
Mato Grosso (MT),153455,152674,4056,4001
Mato Grosso do Sul (MS),89654,88965,1699,1697
Minas Gerais (MG),385427,385427,9531,9531
Pará (PA),263155,262345,6844,6838
Paraíba (PB),139776,139776,3216,3216
Paraná (PR),243115,243115,5758,5758
Pernambuco (PE),171890,171890,8854,8854
Piauí (PI),120913,120466,2554,2541
Rio de Janeiro (RJ),330009,330009,21474,21474
Rio Grande do Norte (RN),84758,84154,2658,2643
Rio Grande do Sul (RS),283351,283351,6314,6314
Rondônia (RO),75652,75652,1508,1508
Roraima (RR),61245,60790,711,709
Santa Catarina (SC),302578,302578,3370,3370
São Paulo (SP),1178075,1178075,40749,40749
Sergipe (SE),86273,86273,2263,2263
Tocantins (TO),78618,78364,1144,1141
TOTAL,5916773,5911758,166816,166699
