https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),21619,21619,562,562
Alagoas (AL),68237,68237,1688,1688
Amapá (AP),38399,38399,603,603
Amazonas (AM),107197,107197,3384,3384
Bahia (BA),194097,194097,4011,4011
Ceará (CE),189023,188657,7994,7979
Distrito Federal(DF),126069,126069,1766,1762
Espírito Santo (ES),93069,93069,2764,2764
Goiás (GO),88573,86451,2072,2023
Maranhão (MA),130566,130566,3187,3187
Mato Grosso (MT),65346,65198,2204,2122
Mato Grosso do Sul (MS),31739,31739,523,523
Minas Gerais (MG),155075,155075,3597,3597
Pará (PA),169613,168151,5901,5893
Paraíba (PB),90366,90366,2023,2023
Paraná (PR),94124,94124,2398,2398
Pernambuco (PE),105381,105381,6970,6970
Piauí (PI),61144,60178,1526,1503
Rio de Janeiro (RJ),180016,180016,14108,14108
Rio Grande do Norte (RN),55617,55420,1983,1977
Rio Grande do Sul (RS),84034,84034,2417,2417
Rondônia (RO),44372,44372,944,944
Roraima (RR),36449,36449,547,547
Santa Catarina (SC),106928,106928,1546,1541
São Paulo (SP),628415,628415,25151,25151
Sergipe (SE),64974,64974,1614,1614
Tocantins (TO),32289,32289,461,461
TOTAL,3062731,3057470,101944,101752
