https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/29/casos-de-coronavirus-no-brasil-em-29-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),34,34
Alagoas (AL),14,14
Amapá (AP),4,4
Amazonas (AM),140,140
Bahia (BA),156,156
Ceará (CE),359,359
Distrito Federal(DF),298,298
Espírito Santo (ES),72,72
Goiás (GO),56,56
Maranhão (MA),22,22
Mato Grosso (MT),11,11
Mato Grosso do Sul (MS),31,31
Minas Gerais (MG),231,231
Pará (PA),20,20
Paraíba (PB),14,14
Paraná (PR),152,152
Pernambuco (PE),73,73
Piauí (PI),16,16
Rio de Janeiro (RJ),600,600
Rio Grande do Norte (RN),68,68
Rio Grande do Sul (RS),239,239
Rondônia (RO),6,6
Roraima (RR),16,16
Santa Catarina (SC),197,197
São Paulo (SP),1451,1451
Sergipe (SE),16,16
Tocantins (TO),10,10
TOTAL,4306,4306
