https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),9091,9091,245,245
Alagoas (AL),19200,19200,681,681
Amapá (AP),15166,15166,303,303
Amazonas (AM),53989,53989,2400,2400
Bahia (BA),33891,33891,1013,1013
Ceará (CE),74692,73879,4708,4663
Distrito Federal(DF),20507,20507,274,274
Espírito Santo (ES),24428,24229,966,962
Goiás (GO),7841,7657,194,189
Maranhão (MA),55680,55680,1360,1360
Mato Grosso (MT),5092,5092,163,160
Mato Grosso do Sul (MS),2853,2853,25,25
Minas Gerais (MG),18448,18448,431,431
Pará (PA),65151,64126,4090,4030
Paraíba (PB),25370,25370,570,570
Paraná (PR),8457,8457,282,280
Pernambuco (PE),42994,42994,3633,3633
Piauí (PI),9337,8823,317,299
Rio de Janeiro (RJ),75775,75775,7363,7363
Rio Grande do Norte (RN),13234,13234,496,496
Rio Grande do Sul (RS),14168,14168,323,323
Rondônia (RO),10547,10547,294,293
Roraima (RR),6712,6594,192,188
Santa Catarina (SC),12953,12953,186,186
São Paulo (SP),162520,162520,10145,10145
Sergipe (SE),11056,11056,283,283
Tocantins (TO),6529,6529,124,124
TOTAL,805681,802828,41061,40919
